GET 	 / 	 undefined 	 7/30/2023, 9:35:30 PM 
GET 	 / 	 undefined 	 7/30/2023, 9:35:31 PM 
GET 	 / 	 undefined 	 7/30/2023, 9:35:31 PM 
GET 	 / 	 undefined 	 7/30/2023, 9:35:31 PM 
GET 	 /fefheuif 	 undefined 	 7/30/2023, 9:35:39 PM 
GET 	 /fefheuif 	 undefined 	 7/30/2023, 9:35:40 PM 
GET 	 /fefheuif 	 undefined 	 7/30/2023, 9:35:41 PM 
GET 	 /fefheuif 	 undefined 	 7/30/2023, 9:35:41 PM 
GET 	 / 	 undefined 	 7/30/2023, 9:35:42 PM 
GET 	 / 	 undefined 	 7/30/2023, 9:43:18 PM 
GET 	 /ejuiofheuif 	 undefined 	 7/30/2023, 9:43:21 PM 
GET 	 /ejuiofheuif 	 undefined 	 7/30/2023, 9:43:37 PM 
GET 	 /ejuiofheuif 	 undefined 	 7/30/2023, 9:43:38 PM 
GET 	 /ejuiofheuif 	 undefined 	 7/30/2023, 9:43:40 PM 
GET 	 /ejuio 	 undefined 	 7/30/2023, 9:43:44 PM 
GET 	 /ejuio 	 undefined 	 7/30/2023, 9:43:45 PM 
GET 	 /ejuio 	 undefined 	 7/30/2023, 9:51:24 PM 
GET 	 /ejuio 	 undefined 	 7/30/2023, 9:51:25 PM 
GET 	 / 	 undefined 	 7/30/2023, 9:51:27 PM 
GET 	 / 	 undefined 	 7/30/2023, 9:51:28 PM 
GET 	 /fehjf 	 undefined 	 7/30/2023, 9:51:33 PM 
GET 	 / 	 undefined 	 7/30/2023, 9:52:05 PM 
GET 	 / 	 undefined 	 7/31/2023, 5:50:44 PM 
GET 	 /favicon.ico 	 undefined 	 7/31/2023, 5:50:44 PM 
GET 	 / 	 undefined 	 7/31/2023, 6:21:10 PM 
GET 	 /favicon.ico 	 undefined 	 7/31/2023, 6:21:11 PM 
GET 	 / 	 undefined 	 7/31/2023, 6:21:13 PM 
GET 	 /favicon.ico 	 undefined 	 7/31/2023, 6:21:13 PM 
GET 	 / 	 undefined 	 7/31/2023, 6:21:43 PM 
GET 	 /favicon.ico 	 undefined 	 7/31/2023, 6:21:44 PM 
POST 	 /posts 	 http://localhost:3500 	 7/31/2023, 6:30:07 PM 
POST 	 /posts 	 http://localhost:3500 	 7/31/2023, 6:30:53 PM 
POST 	 /posts 	 http://localhost:3500 	 7/31/2023, 6:35:50 PM 
POST 	 /posts 	 http://localhost:3500 	 7/31/2023, 6:36:43 PM 
POST 	 /posts 	 http://localhost:3500 	 7/31/2023, 6:40:08 PM 
POST 	 /posts 	 http://localhost:3500 	 7/31/2023, 6:41:22 PM 
GET 	 / 	 undefined 	 8/2/2023, 11:54:51 AM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 11:54:51 AM 
GET 	 / 	 undefined 	 8/2/2023, 12:07:22 PM 
